pair_id,distance,split_a,image_a,split_b,image_b,decision,reason,action_taken,reviewer_name,review_date
pair_001,0,train,datasets/uae_lp_v2_yolo/images/train/1-view-Q6818600_png_jpg.rf.W8rEATOynqJTZEpXhOns.jpg,test,datasets/uae_lp_v2_yolo/images/test/1-view-Q2121610_png_jpg.rf.jeWAcuPvFoPxGbD4elEj.jpg,pending_human_review,,none_pending,,
pair_002,0,train,datasets/uae_lp_v2_yolo/images/train/1-view-Q6818610_png_jpg.rf.JBOREwvCJnTsAjKdgdLF.jpg,test,datasets/uae_lp_v2_yolo/images/test/1-view-Q6909610_png_jpg.rf.Q7VIbtzAMzYpYB1TbaY0.jpg,pending_human_review,,none_pending,,
pair_003,1,train,datasets/uae_lp_v2_yolo/images/train/1-viewmobile-Q6818610_png_jpg.rf.dsrxIeQPHxlgQDiSL5BG.jpg,val,datasets/uae_lp_v2_yolo/images/val/1-viewmobile-Q6909610_png_jpg.rf.Q833TzVdsyjeX8Jj9e35.jpg,pending_human_review,,none_pending,,
pair_004,1,train,datasets/uae_lp_v2_yolo/images/train/1-view-Q6909600_png_jpg.rf.sZXIpuckK24IKe9Eg9Gl.jpg,test,datasets/uae_lp_v2_yolo/images/test/1-view-Q2121610_png_jpg.rf.jeWAcuPvFoPxGbD4elEj.jpg,pending_human_review,,none_pending,,
pair_005,1,train,datasets/uae_lp_v2_yolo/images/train/1-view-Q6909600_png_jpg.rf.sZXIpuckK24IKe9Eg9Gl.jpg,test,datasets/uae_lp_v2_yolo/images/test/1-view-Q6909610_png_jpg.rf.Q7VIbtzAMzYpYB1TbaY0.jpg,pending_human_review,,none_pending,,
pair_006,2,train,datasets/uae_lp_v2_yolo/images/train/1-shortview-Q6909600_png_jpg.rf.MDRULqjOXVNoYpUthaUV.jpg,val,datasets/uae_lp_v2_yolo/images/val/1-shortview-K8446600_jpg.rf.xUF71EM7PG4zHMmyMelQ.jpg,pending_human_review,,none_pending,,
pair_007,2,train,datasets/uae_lp_v2_yolo/images/train/1-viewmobile-Q2121610_png_jpg.rf.qbJle9VPIf7PRvxrbwiT.jpg,val,datasets/uae_lp_v2_yolo/images/val/1-viewmobile-Q6909610_png_jpg.rf.Q833TzVdsyjeX8Jj9e35.jpg,pending_human_review,,none_pending,,
pair_008,2,train,datasets/uae_lp_v2_yolo/images/train/1-shortmobileview-Q2121600_png_jpg.rf.dDPY8LgfhxTTxTGghQzS.jpg,test,datasets/uae_lp_v2_yolo/images/test/1-shortmobileview-Q6818600_png_jpg.rf.XcUKmna5NRPf8Jcbq97B.jpg,pending_human_review,,none_pending,,
pair_009,2,train,datasets/uae_lp_v2_yolo/images/train/1-view-Q6818600_png_jpg.rf.W8rEATOynqJTZEpXhOns.jpg,test,datasets/uae_lp_v2_yolo/images/test/1-view-Q6909610_png_jpg.rf.Q7VIbtzAMzYpYB1TbaY0.jpg,pending_human_review,,none_pending,,
pair_010,2,train,datasets/uae_lp_v2_yolo/images/train/1-view-Q6818610_png_jpg.rf.JBOREwvCJnTsAjKdgdLF.jpg,test,datasets/uae_lp_v2_yolo/images/test/1-view-Q2121610_png_jpg.rf.jeWAcuPvFoPxGbD4elEj.jpg,pending_human_review,,none_pending,,
